,School_Name,District,Latitude,Longitude,Address,Student_Attendance_Rate,Average_ELA_Proficiency,Average_Math_Proficiency,avg_math_ela,borough
175,AMISTAD DUAL LANGUAGE SCHOOL,6,40.866522,-73.923818,"4862 BROADWAY NEW YORK, NY 10034",0.96,2.45,2.48,2.465,1
176,MUSCOTA,6,40.866522,-73.923818,"4862 BROADWAY NEW YORK, NY 10034",0.95,2.98,3.04,3.01,1
177,M.S. 319 - MARIA TERESA,6,40.839408,-73.935772,"21 JUMEL PL NEW YORK, NY 10032",0.94,2.22,2.29,2.255,1
178,MIDDLE SCHOOL 322,6,40.86082,-73.930066,"4600 BROADWAY NEW YORK, NY 10040",0.93,2.13,2.22,2.175,1
179,M.S. 324 - PATRIA MIRABAL,6,40.839408,-73.935772,"21 JUMEL PL NEW YORK, NY 10032",0.95,2.33,2.62,2.475,1
180,P.S. 325,6,40.820988,-73.952995,"500 W 138TH ST NEW YORK, NY 10031",0.93,2.14,2.19,2.165,1
181,M.S. 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY,6,40.836912,-73.937412,"401 W 164TH ST NEW YORK, NY 10032",0.87,1.98,1.97,1.975,1
182,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,6,40.833487,-73.942446,"504 W 158TH ST NEW YORK, NY 10033",0.93,2.31,2.23,2.27,1
183,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,6,40.849099,-73.931106,"511 W 182ND ST NEW YORK, NY 10033",0.94,2.48,2.67,2.575,1
184,HARBOR HEIGHTS,6,40.84562,-73.939738,"306 FORT WASHINGTON AVE-RM  414 NEW YORK, NY 10033",0.97,1.81,2.03,1.92,1
185,WASHINGTON HEIGHTS ACADEMY,6,40.865573,-73.921602,"202 SHERMAN AVE NEW YORK, NY 10034",0.94,2.57,2.72,2.645,1
186,HAMILTON HEIGHTS SCHOOL,6,40.826477,-73.947458,"1750 AMSTERDAM AVE NEW YORK, NY 10031",0.92,2.22,2.38,2.3,1
187,I.S. 528 BEA FULLER RODGERS SCHOOL,6,40.850676,-73.934697,"180 WADSWORTH AVE NEW YORK, NY 10033",0.95,2.24,2.19,2.215,1
188,P.S. 001 COURTLANDT SCHOOL,7,40.819101,-73.91941,"335 E 152ND ST BRONX, NY 10451",0.92,2.19,2.23,2.21,2
189,P.S. 5 PORT MORRIS,7,40.813613,-73.908429,"564 JACKSON AVE BRONX, NY 10455",0.91,2.15,2.11,2.13,2
190,P.S. 018 JOHN PETER ZENGER,7,40.816249,-73.922585,"502 MORRIS AVE BRONX, NY 10451",0.92,2.17,2.39,2.2800000000000002,2
191,P.S. 025 BILINGUAL SCHOOL,7,40.812854,-73.905725,"811 E 149TH ST BRONX, NY 10455",0.93,2.37,2.42,2.395,2
192,P.S./M.S. 029 MELROSE SCHOOL,7,40.821611,-73.916768,"758 COURTLANDT AVE BRONX, NY 10451",0.91,2.12,2.12,2.12,2
193,P.S. 030 WILTON,7,40.809065,-73.91752,"510 E 141ST ST BRONX, NY 10454",0.9,2.09,2.15,2.12,2
194,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,7,40.822539,-73.921487,"250 E 156TH ST BRONX, NY 10451",0.9,2.09,2.04,2.065,2
195,P.S. 043 JONAS BRONCK,7,40.806419,-73.921424,"165 BROWN PL BRONX, NY 10454",0.91,2.29,2.46,2.375,2
196,P.S. 049 WILLIS AVENUE,7,40.810342,-73.922626,"383 E 139TH ST BRONX, NY 10454",0.92,2.19,2.45,2.3200000000000003,2
197,P.S. 065 MOTHER HALE ACADEMY,7,40.807731,-73.912768,"677 E 141ST ST BRONX, NY 10454",0.89,2.06,2.12,2.09,2
198,J.H.S. 151 LOU GEHRIG,7,40.822539,-73.921487,"250 E 156TH ST BRONX, NY 10451",0.92,2.1,1.98,2.04,2
199,P.S. 154 JONATHAN D. HYATT,7,40.808255,-73.925748,"333 E 135TH ST BRONX, NY 10454",0.93,2.29,2.33,2.31,2
200,P.S. 157 GROVE HILL,7,40.819262,-73.909065,"757 CAULDWELL AVE BRONX, NY 10456",0.9,2.32,2.41,2.365,2
201,P.S. 161 JUAN PONCE DE LEON SCHOOL,7,40.814507,-73.905159,"628 TINTON AVE BRONX, NY 10455",0.91,2.33,2.48,2.4050000000000002,2
202,J.H.S. 162 LOLA RODRIGUEZ DE TIO,7,40.814702,-73.912036,"600 ST ANNS AVE BRONX, NY 10455",0.89,2.04,1.96,2.0,2
203,P.S. 179,7,40.809216,-73.920032,"468 E 140TH ST BRONX, NY 10454",0.92,2.31,2.35,2.33,2
204,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,7,40.813507,-73.920477,"360 E 145TH ST BRONX, NY 10454",0.93,2.25,2.39,2.3200000000000003,2
205,M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,7,40.813507,-73.920477,"360 E 145TH ST BRONX, NY 10454",0.95,2.62,2.68,2.6500000000000004,2
206,P.S./I.S. 224,7,40.810207,-73.91839,"345 BROOK AVE BRONX, NY 10454",0.9,2.18,2.13,2.1550000000000002,2
207,P.S. 277,7,40.813307,-73.913837,"519 ST ANNS AVE BRONX, NY 10454",0.93,2.28,2.64,2.46,2
208,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,7,40.818906,-73.905333,"778 FOREST AVE BRONX, NY 10456",0.89,2.13,2.04,2.085,2
209,ACADEMY OF PUBLIC RELATIONS,7,40.818906,-73.905333,"778 FOREST AVE BRONX, NY 10456",0.9,2.14,1.97,2.055,2
210,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,7,40.810207,-73.91839,"345 BROOK AVE BRONX, NY 10454",0.92,2.36,2.72,2.54,2
211,YOUNG LEADERS ELEMENTARY SCHOOL,7,40.809216,-73.920032,"468 E 140TH ST BRONX, NY 10454",0.92,1.97,2.04,2.005,2
212,HOSTOS-LINCOLN ACADEMY OF SCIENCE,7,40.814702,-73.912036,"600 ST ANNS AVE BRONX, NY 10455",0.93,2.26,2.19,2.2249999999999996,2
213,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,7,40.81366,-73.925999,"339 MORRIS AVE BRONX, NY 10451",0.9,2.08,2.06,2.0700000000000003,2
214,P.S. X014 SENATOR JOHN CALANDRA,8,40.835535,-73.825861,"3041 BRUCKNER BLVD BRONX, NY 10461",0.93,2.61,2.8,2.705,2
215,P.S. 036 UNIONPORT,8,40.829446,-73.849749,"1070 CASTLE HILL AVE BRONX, NY 10472",0.93,2.6,2.73,2.665,2
216,P.S. 048 JOSEPH R. DRAKE,8,40.814228,-73.886889,"1290 SPOFFORD AVE BRONX, NY 10474",0.92,2.1,2.18,2.14,2
217,P.S. 062 INOCENSIO CASANOVA,8,40.813875,-73.90019,"660 FOX ST BRONX, NY 10455",0.91,2.15,2.35,2.25,2
218,P.S. 069 JOURNEY PREP SCHOOL,8,40.816837,-73.860541,"560 THERIOT AVE BRONX, NY 10473",0.93,2.72,3.02,2.87,2
219,P.S. 071 ROSE E. SCALA,8,40.845595,-73.829638,"3040 ROBERTS AVE BRONX, NY 10461",0.93,2.66,2.87,2.765,2
220,P.S. 072 DR. WILLIAM DORNEY,8,40.823158,-73.818136,"2951 DEWEY AVE BRONX, NY 10465",0.91,2.33,2.44,2.385,2
221,P.S. 75 SCHOOL OF RESEARCH AND DISCOVERY,8,40.82229,-73.88896,"984 FAILE ST BRONX, NY 10459",0.91,2.24,2.34,2.29,2
222,P.S. 093 ALBERT G. OLIVER,8,40.822513,-73.877255,"1535 STORY AVE BRONX, NY 10473",0.93,2.26,2.32,2.29,2
223,P.S. 100 ISAAC CLASON,8,40.82191,-73.862615,"800 TAYLOR AVE BRONX, NY 10473",0.92,2.32,2.34,2.33,2
224,M.S. X101 EDWARD R. BYRNE,8,40.827214,-73.829212,"2750 LAFAYETTE AVE BRONX, NY 10465",0.95,2.89,2.74,2.8150000000000004,2
225,P.S. 107,8,40.818887,-73.868609,"1695 SEWARD AVE BRONX, NY 10473",0.9,2.21,2.24,2.225,2
226,THE DR. EMMETT W. BASSETT SCHOOL,8,40.828493,-73.856571,"1075 PUGSLEY AVE BRONX, NY 10472",0.94,2.41,2.68,2.545,2
227,J.H.S. 123 JAMES M. KIERAN,8,40.824884,-73.873517,"1025 MORRISON AVE BRONX, NY 10472",0.91,2.15,1.98,2.065,2
228,J.H.S. 125 HENRY HUDSON,8,40.829414,-73.856783,"1111 PUGSLEY AVE BRONX, NY 10472",0.9,2.26,2.26,2.26,2
229,P.S. 130 ABRAM STEVENS HEWITT,8,40.817778,-73.901831,"750 PROSPECT AVE BRONX, NY 10455",0.92,2.07,2.22,2.145,2
230,J.H.S. 131 ALBERT EINSTEIN,8,40.823319,-73.860062,"885 BOLTON AVE BRONX, NY 10473",0.91,2.24,2.07,2.1550000000000002,2
231,P.S. 138 SAMUEL RANDALL,8,40.822374,-73.852831,"2060 LAFAYETTE AVE BRONX, NY 10473",0.89,2.32,2.39,2.355,2
232,P.S. X140 THE EAGLE SCHOOL,8,40.823374,-73.907378,"916 EAGLE AVE BRONX, NY 10456",0.9,2.16,2.36,2.26,2
233,P.S. 146 EDWARD COLLINS,8,40.825125,-73.90592,"968 CAULDWELL AVE BRONX, NY 10456",0.91,2.25,2.27,2.26,2
234,P.S. 152 EVERGREEN,8,40.823978,-73.880504,"1007 EVERGREEN AVE BRONX, NY 10472",0.91,2.19,2.39,2.29,2
235,P.S. 182,8,40.818892,-73.856982,"601 STICKBALL BLVD BRONX, NY 10473",0.92,2.59,2.77,2.6799999999999997,2
236,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,8,40.820398,-73.892938,"928 SIMPSON ST BRONX, NY 10459",0.92,2.24,2.15,2.1950000000000003,2
237,M.S. 301 PAUL L. DUNBAR,8,40.822303,-73.906686,"890 CAULDWELL AVE BRONX, NY 10456",0.88,1.97,1.95,1.96,2
238,M.S. 302 LUISA DESSUS CRUZ,8,40.815971,-73.901686,"681 KELLY ST BRONX, NY 10455",0.87,2.22,2.17,2.1950000000000003,2
239,P.S. 304 EARLY CHILDHOOD SCHOOL,8,40.827214,-73.829212,"2750 LAFAYETTE AVE BRONX, NY 10465",0.95,2.94,3.1,3.02,2
240,P.S. 333 - THE MUSEUM SCHOOL,8,40.820082,-73.898647,"888 REV J A POLITE AVE BRONX, NY 10459",0.89,2.22,2.21,2.215,2
241,THE ACADEMY OF THE ARTS,8,40.820082,-73.898647,"888 REV J A POLITE AVE BRONX, NY 10459",0.92,2.27,2.54,2.4050000000000002,2
242,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,8,40.824884,-73.873517,"1025 MORRISON AVE BRONX, NY 10472",0.93,2.67,2.77,2.7199999999999998,2
243,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",8,40.815017,-73.856018,"456 WHITE PLAINS RD BRONX, NY 10473",0.93,2.46,2.39,2.425,2
244,URBAN INSTITUTE OF MATHEMATICS,8,40.826997,-73.818271,"650 HOLLYWOOD AVE BRONX, NY 10465",0.93,2.74,2.47,2.6050000000000004,2
245,THE BRONX MATHEMATICS PREPARATORY SCHOOL,8,40.815017,-73.856018,"456 WHITE PLAINS RD BRONX, NY 10473",0.89,2.17,2.01,2.09,2
246,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,8,40.821448,-73.855654,"1980 LAFAYETTE AVE BRONX, NY 10473",0.9,2.33,2.15,2.24,2
247,THE HUNTS POINT SCHOOL,8,40.815594,-73.885238,"730 BRYANT AVE BRONX, NY 10474",0.9,2.11,2.02,2.065,2
248,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,8,40.823319,-73.860062,"885 BOLTON AVE BRONX, NY 10473",0.91,2.31,2.33,2.3200000000000003,2
249,MOTT HALL COMMUNITY SCHOOL,8,40.826997,-73.818271,"650 HOLLYWOOD AVE BRONX, NY 10465",0.92,2.28,2.22,2.25,2
250,BLUEPRINT MIDDLE SCHOOL,8,40.829108,-73.85691,"1111 PUGLSEY AVE BRONX, NY 10472",0.92,2.23,2.17,2.2,2
251,P.S./M.S. 004 CROTONA PARK WEST,9,40.841242,-73.898492,"1701 FULTON AVE BRONX, NY 10457",0.88,2.28,2.45,2.365,2
252,P.S. 011 HIGHBRIDGE,9,40.83973,-73.925913,"1257 OGDEN AVE BRONX, NY 10452",0.92,2.31,2.32,2.315,2
253,J.H.S. 022 JORDAN L. MOTT,9,40.832278,-73.914142,"270 E 167TH ST BRONX, NY 10456",0.9,2.05,1.91,1.98,2
254,P.S. 028 MOUNT HOPE,9,40.848338,-73.903702,"1861 ANTHONY AVE BRONX, NY 10457",0.91,2.28,2.47,2.375,2
255,P.S. 035 FRANZ SIEGEL,9,40.82761,-73.91809,"261 E 163RD ST BRONX, NY 10451",0.93,2.28,2.48,2.38,2
256,P.S. 042 CLAREMONT,9,40.838559,-73.903026,"1537 WASHINGTON AVE BRONX, NY 10456",0.9,2.18,2.25,2.215,2
257,P.S. 053 BASHEER QUISIM,9,40.832774,-73.911831,"360 E 168TH ST BRONX, NY 10456",0.9,2.42,2.63,2.525,2
258,P.S. 055 BENJAMIN FRANKLIN,9,40.835973,-73.904838,"450 ST PAUL'S PL BRONX, NY 10456",0.92,2.04,2.15,2.0949999999999998,2
259,P.S. 058,9,40.846275,-73.898878,"459 E 176TH ST BRONX, NY 10457",0.9,2.17,2.32,2.245,2
260,P.S. 063 AUTHOR'S ACADEMY,9,40.830895,-73.902386,"1260 FRANKLIN AVE BRONX, NY 10456",0.9,2.55,2.65,2.5999999999999996,2
261,P.S. 070 MAX SCHOENFELD,9,40.844394,-73.908023,"1691 WEEKS AVE BRONX, NY 10457",0.91,2.1,2.26,2.1799999999999997,2
262,P.S. 073 BRONX,9,40.83262,-73.926485,"1020 ANDERSON AVE BRONX, NY 10452",0.9,2.07,2.1,2.085,2
263,P.S. 109 SEDGWICK,9,40.851637,-73.918772,"1771 POPHAM AVE BRONX, NY 10453",0.91,2.19,2.17,2.1799999999999997,2
264,P.S. 110 THEODORE SCHOENFELD,9,40.834973,-73.900304,"580 CROTONA PARK S BRONX, NY 10456",0.93,2.33,2.4,2.365,2
265,P.S. X114 - LUIS LLORENS TORRES SCHOOLS,9,40.835007,-73.923347,"1155 CROMWELL AVE BRONX, NY 10452",0.92,2.07,2.19,2.13,2
266,I.S. 117 JOSEPH H. WADE,9,40.848521,-73.908447,"1865 MORRIS AVE BRONX, NY 10453",0.89,2.04,2.0,2.02,2
267,P.S. 126 DR MARJORIE H DUNBAR,9,40.836201,-73.928346,"175 W 166TH ST BRONX, NY 10452",0.91,2.27,2.17,2.2199999999999998,2
268,MOTT HALL III,9,40.834973,-73.900304,"580 CROTONA PARK S BRONX, NY 10456",0.95,2.71,2.95,2.83,2
269,P.S. 132 GARRET A. MORGAN,9,40.832081,-73.906951,"1245 WASHINGTON AVE BRONX, NY 10456",0.89,2.07,2.18,2.125,2
270,J.H.S. 145 ARTURO TOSCANINI,9,40.827748,-73.913773,"1000 TELLER AVE BRONX, NY 10456",0.89,2.09,1.98,2.035,2
271,P.S. 163 ARTHUR A. SCHOMBURG,9,40.851773,-73.898794,"2075 WEBSTER AVE BRONX, NY 10457",0.93,2.3,2.42,2.36,2
272,P.S. 199X - THE SHAKESPEARE SCHOOL,9,40.843553,-73.920665,"1449 SHAKESPEARE AVE BRONX, NY 10452",0.91,2.21,2.31,2.26,2
273,P.S. 204 MORRIS HEIGHTS,9,40.849995,-73.915226,"1780 DR M L KING JR BLVD BRONX, NY 10453",0.94,2.46,2.65,2.5549999999999997,2
274,KAPPA,9,40.833708,-73.903937,"3630 3RD AVE BRONX, NY 10456",0.95,2.48,2.67,2.575,2
275,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,9,40.835694,-73.919663,"1220 GERARD AVE BRONX, NY 10452",0.94,2.45,2.56,2.505,2
276,I.S. 219 NEW VENTURE SCHOOL,9,40.833708,-73.903937,"3630 3RD AVE BRONX, NY 10456",0.9,1.98,1.92,1.95,2
277,I.S. 229 ROLAND PATTERSON,9,40.841563,-73.929604,"275 HARLEM RIVER PARK BRIDGE BRONX, NY 10453",0.9,2.1,1.99,2.045,2
278,EAGLE ACADEMY FOR YOUNG MEN,9,40.845324,-73.897392,"4143 3RD AVE BRONX, NY 10457",0.94,2.21,2.13,2.17,2
279,I.S. 232,9,40.849461,-73.915529,"1700 MACOMBS RD BRONX, NY 10453",0.93,2.16,2.27,2.215,2
280,P.S. 236 LANGSTON HUGHES,9,40.848826,-73.909699,"1871 WALTON AVE BRONX, NY 10453",0.93,2.19,2.28,2.235,2
281,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",9,40.839457,-73.901895,"1595 BATHGATE AVE BRONX, NY 10457",0.92,2.23,2.47,2.35,2
282,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,9,40.849461,-73.915529,"1700 MACOMBS RD BRONX, NY 10453",0.92,2.27,2.29,2.2800000000000002,2
283,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,9,40.840589,-73.90454,"1600 WEBSTER AVE BRONX, NY 10457",0.89,2.05,2.05,2.05,2
284,BRONX WRITING ACADEMY,9,40.832278,-73.914142,"270 E 167TH ST BRONX, NY 10456",0.87,2.21,2.17,2.19,2
285,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,9,40.828111,-73.917661,"250 E 164TH ST BRONX, NY 10456",0.93,2.17,2.16,2.165,2
286,URBAN SCIENCE ACADEMY,9,40.827748,-73.913773,"1000 TELLER AVE BRONX, NY 10456",0.9,2.0,1.97,1.9849999999999999,2
287,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,9,40.842811,-73.916384,"1501 JEROME AVE BRONX, NY 10452",0.94,2.64,3.03,2.835,2
288,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,9,40.827748,-73.913773,"1000 TELLER AVE BRONX, NY 10456",0.9,2.1,2.0,2.05,2
289,I.S. 339,9,40.840589,-73.90454,"1600 WEBSTER AVE BRONX, NY 10457",0.91,2.05,2.04,2.045,2
290,NEW DIRECTIONS SECONDARY SCHOOL,9,40.839654,-73.911386,"240 E 172ND ST BRONX, NY 10457",0.66,1.9,1.91,1.9049999999999998,2
291,THE HIGHBRIDGE GREEN SCHOOL,9,40.838201,-73.928084,"200 W 167TH ST BRONX, NY 10452",0.94,2.27,2.17,2.2199999999999998,2
292,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,9,40.839654,-73.911386,"240 E 172ND ST BRONX, NY 10457",0.96,2.57,2.53,2.55,2
293,THE FAMILY SCHOOL,9,40.832033,-73.917519,"1116 SHERIDAN AVE BRONX, NY 10456",0.92,2.24,2.22,2.2300000000000004,2
294,GRANT AVENUE ELEMENTARY SCHOOL,9,40.828111,-73.917661,"250 E 164TH ST BRONX, NY 10456",0.93,2.1,2.22,2.16,2
295,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,9,40.828111,-73.917661,"250 E 164TH ST BRONX, NY 10456",0.92,2.58,2.71,2.645,2
296,SHERIDAN ACADEMY FOR YOUNG LEADERS,9,40.832033,-73.917519,"1116 SHERIDAN AVE BRONX, NY 10456",0.91,2.14,2.35,2.245,2
297,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",9,40.827572,-73.918927,"244 E 163RD ST BRONX, NY 10451",0.95,2.63,2.63,2.63,2
298,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,9,40.848521,-73.908447,"1865 MORRIS AVE BRONX, NY 10453",0.94,2.68,2.8,2.74,2
299,P.S. 3 RAUL JULIA MICRO SOCIETY,10,40.850163,-73.891656,"2100 LAFONTAINE AVE BRONX, NY 10457",0.91,2.35,2.54,2.4450000000000003,2
300,MILTON FEIN SCHOOL,10,40.881668,-73.905862,"3201 KINGSBRIDGE AVE BRONX, NY 10463",0.96,2.63,2.97,2.8,2
301,P.S. 008 ISAAC VARIAN,10,40.872553,-73.883365,"3010 BRIGGS AVE BRONX, NY 10458",0.93,2.43,2.64,2.535,2
302,P.S. 9 RYER AVENUE ELEMENTARY SCHOOL,10,40.856803,-73.898907,"230 E 183RD ST BRONX, NY 10458",0.9,2.16,2.39,2.2750000000000004,2
303,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,10,40.859165,-73.909733,"2195 ANDREWS AVE BRONX, NY 10453",0.95,2.57,2.84,2.705,2
304,"P.S./M.S. 20 P.O.GEORGE J. WERDANN, III",10,40.869618,-73.879012,"3050 WEBSTER AVE BRONX, NY 10458",0.92,2.32,2.34,2.33,2
305,P.S. 023 THE NEW CHILDREN'S SCHOOL,10,40.85336,-73.894798,"2151 WASHINGTON AVE BRONX, NY 10457",0.91,2.13,2.14,2.135,2
306,P.S. 024 SPUYTEN DUYVIL,10,40.887662,-73.91357,"660 W 236TH ST BRONX, NY 10463",0.94,2.87,3.09,2.98,2
307,P.S. 032 BELMONT,10,40.852095,-73.885739,"690 E 183RD ST BRONX, NY 10458",0.93,2.31,2.42,2.365,2
308,P.S. 033 TIMOTHY DWIGHT,10,40.861675,-73.901633,"2424 JEROME AVE BRONX, NY 10468",0.92,2.15,2.33,2.24,2
309,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,10,40.87984,-73.910788,"360 W 230TH ST BRONX, NY 10463",0.92,2.37,2.55,2.46,2
310,THOMAS C. GIORDANO MIDDLE SCHOOL 45,10,40.858431,-73.887039,"2502 LORILLARD PL BRONX, NY 10458",0.91,2.27,2.15,2.21,2
311,P.S. 046 EDGAR ALLAN POE,10,40.858431,-73.887039,"2502 LORILLARD PL BRONX, NY 10458",0.92,2.08,2.24,2.16,2
312,P.S. 051 BRONX NEW SCHOOL,10,40.850632,-73.88653,"695 E 182ND ST BRONX, NY 10457",0.94,2.49,2.54,2.515,2
313,P.S./I.S. 54,10,40.864937,-73.887793,"2703 WEBSTER AVE BRONX, NY 10458",0.92,2.27,2.2,2.2350000000000003,2
314,P.S. 056 NORWOOD HEIGHTS,10,40.872439,-73.875912,"3177 WEBSTER AVE BRONX, NY 10467",0.93,2.7,3.01,2.855,2
315,P.S. 059 THE COMMUNITY SCHOOL OF TECHNOLOGY,10,40.85306,-73.893421,"2185 BATHGATE AVE BRONX, NY 10457",0.91,2.13,2.3,2.215,2
316,J.H.S. 080 THE MOSHOLU PARKWAY,10,40.876823,-73.88124,"149 E MOSHOLU PKWY BRONX, NY 10467",0.89,2.16,2.07,2.115,2
317,P.S. 081 ROBERT J. CHRISTEN,10,40.903455,-73.904682,"5550 RIVERDALE AVE BRONX, NY 10471",0.94,2.81,3.08,2.9450000000000003,2
318,P.S. 085 GREAT EXPECTATIONS,10,40.858852,-73.894829,"2400 MARION AVE BRONX, NY 10458",0.91,2.02,2.05,2.035,2
319,P.S. 086 KINGSBRIDGE HEIGHTS,10,40.869847,-73.898263,"2756 RESERVOIR AVE BRONX, NY 10468",0.94,2.47,2.8,2.635,2
320,P.S. 091 BRONX,10,40.858716,-73.907408,"2220 AQUEDUCT AVE BRONX, NY 10453",0.91,2.33,2.52,2.425,2
321,P.S. 094 KINGS COLLEGE SCHOOL,10,40.88051,-73.875267,"3530 KINGS COLLEGE PL BRONX, NY 10467",0.91,2.17,2.22,2.1950000000000003,2
322,P.S. 095 SHEILA MENCHER,10,40.883022,-73.891672,"3961 HILLMAN AVE BRONX, NY 10463",0.92,2.41,2.41,2.41,2
323,J.H.S. 118 WILLIAM W. NILES,10,40.848559,-73.89257,"577 E 179TH ST BRONX, NY 10457",0.92,2.54,2.59,2.565,2
324,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),10,40.887701,-73.913605,"660 W 237TH ST BRONX, NY 10463",0.94,2.74,2.93,2.835,2
325,P.S. 159 LUIS MUNOZ MARIN BILING,10,40.855521,-73.893276,"2315 WASHINGTON AVE BRONX, NY 10457",0.93,2.33,2.43,2.38,2
326,P.S. 205 FIORELLO LAGUARDIA,10,40.855742,-73.881407,"2475 SOUTHERN BLVD BRONX, NY 10458",0.93,2.4,2.51,2.455,2
327,I.S. 206 ANN MERSEREAU,10,40.859604,-73.906275,"2280 AQUEDUCT AVE BRONX, NY 10468",0.91,2.06,2.12,2.09,2
328,THEATRE ARTS PRODUCTION COMPANY SCHOOL,10,40.854655,-73.897036,"2225 WEBSTER AVE BRONX, NY 10457",0.92,2.38,2.48,2.4299999999999997,2
329,P.S. 226,10,40.855568,-73.91622,"1950 SEDGWICK AVE BRONX, NY 10453",0.93,2.22,2.34,2.2800000000000002,2
330,JONAS BRONCK ACADEMY,10,40.861305,-73.891283,"400 E FORDHAM RD BRONX, NY 10458",0.98,2.7,2.66,2.68,2
331,WEST BRONX ACADEMY FOR THE FUTURE,10,40.859516,-73.88858,"500 E FORDHAM RD BRONX, NY 10458",0.92,2.35,2.32,2.335,2
332,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,10,40.875451,-73.901516,"120 W 231ST ST BRONX, NY 10463",0.93,2.51,2.49,2.5,2
333,P.S. 246 POE CENTER,10,40.865975,-73.895314,"2641 GRAND CONCOURSE BRONX, NY 10468",0.92,2.13,2.3,2.215,2
334,I.S. 254,10,40.858858,-73.889841,"2452 WASHINGTON AVE BRONX, NY 10458",0.91,2.2,2.25,2.225,2
335,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",10,40.854751,-73.905024,"2100 WALTON AVE BRONX, NY 10453",0.93,2.26,2.33,2.295,2
336,P.S./M.S. 280 MOSHOLU PARKWAY,10,40.877179,-73.881546,"3202 STEUBEN AVE BRONX, NY 10467",0.93,2.48,2.66,2.5700000000000003,2
337,P.S. 291,10,40.859165,-73.909733,"2195 ANDREWS AVE BRONX, NY 10453",0.91,2.4,2.67,2.535,2
338,P.S. 306,10,40.851349,-73.910712,"40 W TREMONT AVE BRONX, NY 10453",0.92,2.19,2.3,2.245,2
339,LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOVERY,10,40.869145,-73.901836,"124 EAMES PL BRONX, NY 10468",0.95,2.27,2.43,2.35,2
340,BRONX DANCE ACADEMY SCHOOL,10,40.885328,-73.878058,"3617 BAINBRIDGE AVE BRONX, NY 10467",0.94,2.52,2.54,2.5300000000000002,2
341,P.S. 310 MARBLE HILL,10,40.872481,-73.905299,"260 W KINGSBRIDGE RD BRONX, NY 10463",0.93,2.23,2.56,2.395,2
342,P.S. 315 LAB SCHOOL,10,40.857969,-73.903757,"2246 JEROME AVE BRONX, NY 10453",0.94,2.46,2.61,2.535,2
343,THE BRONX SCHOOL OF YOUNG LEADERS,10,40.851349,-73.910712,"40 W TREMONT ST BRONX, NY 10453",0.94,2.2,2.14,2.17,2
344,P.S. 340,10,40.869429,-73.897161,"25 W 195TH ST BRONX, NY 10468",0.92,2.29,2.52,2.4050000000000002,2
345,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,10,40.870295,-73.897019,"2780 RESERVOIR AVE BRONX, NY 10468",0.97,2.15,2.18,2.165,2
346,AMPARK NEIGHBORHOOD,10,40.883022,-73.891672,"3961 HILLMAN AVE BRONX, NY 10463",0.94,2.74,2.95,2.845,2
347,P.S. 360,10,40.874718,-73.902209,"2880 KINGSBRIDGE TER BRONX, NY 10463",0.91,2.22,2.13,2.175,2
348,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,10,40.859506,-73.900475,"120 E 184TH ST BRONX, NY 10468",0.92,2.24,2.15,2.1950000000000003,2
